,titles,ratings,reviews,dates,replies,reply_dates,clean_review,combined_reviews
840,tefal rupture de stocks,1,"Bonjour
Moi j'ai ma soeur qui a toutes les vignettes tefal pour avoir 3 muggs impossible de les avoir elle a fait trois carrefour l'hotesse d'accueil lui dit qu'elle peut commander sur leur site internet via tefal impossible leur site est pas bon 
leur numéro de telephone impossible de les avoir alors qu'ils sont soit disant ouvert du lundi au vendredi de 8h00 à 19h00 toutes les lignes sont occupées 
c'est une honte pour tefal et carrefour ma soeur fait chez courses chez carrefour et de plus pour avoir les vignettes tefal et après rupture de stocks carrefour à bien profiter de l'argent qu'elle leur a laissé 
Vous êtes des voleurs elle ne pas va pas vous faire de la pub.",2021-04-15T15:15:16.000Z,,,BonjourMoi j'ai ma soeur qui a toutes les vignettes tefal pour avoir 3 muggs impossible de les avoir elle a fait trois carrefour l'hotesse d'accueil lui dit qu'elle peut commander sur leur site internet via tefal impossible leur site est pas bon leur numéro de telephone impossible de les avoir alors qu'ils sont soit disant ouvert du lundi au vendredi de 8h00 à 19h00 toutes les lignes sont occupées c'est une honte pour tefal et carrefour ma soeur fait chez courses chez carrefour et de plus pour avoir les vignettes tefal et après rupture de stocks carrefour à bien profiter de l'argent qu'elle leur a laissé Vous êtes des voleurs elle ne pas va pas vous faire de la pub.,tefal rupture de stocks BonjourMoi j'ai ma soeur qui a toutes les vignettes tefal pour avoir 3 muggs impossible de les avoir elle a fait trois carrefour l'hotesse d'accueil lui dit qu'elle peut commander sur leur site internet via tefal impossible leur site est pas bon leur numéro de telephone impossible de les avoir alors qu'ils sont soit disant ouvert du lundi au vendredi de 8h00 à 19h00 toutes les lignes sont occupées c'est une honte pour tefal et carrefour ma soeur fait chez courses chez carrefour et de plus pour avoir les vignettes tefal et après rupture de stocks carrefour à bien profiter de l'argent qu'elle leur a laissé Vous êtes des voleurs elle ne pas va pas vous faire de la pub.
841,Service client carrefour incompétent !,1,"Service client carrefour incompétent !! 
Ordinateur acheté il y a 1 an et déjà en panne! envoyé en réparation et revenu toujours avec le meme soucis ! Change une pièce qui n’a rien à voir avec le problème en question ! Ne note pas correctement les informations énoncées, À ÉVITER !!",2021-04-15T11:34:56.000Z,,,"Service client carrefour incompétent !! Ordinateur acheté il y a 1 an et déjà en panne! envoyé en réparation et revenu toujours avec le meme soucis ! Change une pièce qui n’a rien à voir avec le problème en question ! Ne note pas correctement les informations énoncées, À ÉVITER !!","Service client carrefour incompétent ! Service client carrefour incompétent !! Ordinateur acheté il y a 1 an et déjà en panne! envoyé en réparation et revenu toujours avec le meme soucis ! Change une pièce qui n’a rien à voir avec le problème en question ! Ne note pas correctement les informations énoncées, À ÉVITER !!"
842,Inadmissible,1,"Inadmissible! chez Carrefour on vous donne un N° de téléphone et une adresse mail pour commander les produits Téfal, puisqu'ils n'en ont plus et là  Le numéro ne répond pas, et l'adresse mail est introuvable! On se fiche des clients, comme d'habitude!",2021-04-15T07:44:46.000Z,,,"Inadmissible! chez Carrefour on vous donne un N° de téléphone et une adresse mail pour commander les produits Téfal, puisqu'ils n'en ont plus et là  Le numéro ne répond pas, et l'adresse mail est introuvable! On se fiche des clients, comme d'habitude!","Inadmissible Inadmissible! chez Carrefour on vous donne un N° de téléphone et une adresse mail pour commander les produits Téfal, puisqu'ils n'en ont plus et là  Le numéro ne répond pas, et l'adresse mail est introuvable! On se fiche des clients, comme d'habitude!"
843,site inaccessible quant au telephone on…,1,"site inaccessible quant au telephone on en parle pas
J'ai fait 3 magasins carrefour ce matin et plus rien nulle part",2021-04-14T16:51:49.000Z,,,site inaccessible quant au telephone on en parle pasJ'ai fait 3 magasins carrefour ce matin et plus rien nulle part,site inaccessible quant au telephone on… site inaccessible quant au telephone on en parle pasJ'ai fait 3 magasins carrefour ce matin et plus rien nulle part
844,La plateforme de réservation sera…,3,La plateforme de réservation sera ouverte du 19 Avril au 2 mai .donc attendez le 19 on n est que le 14 .C est ecrit sur le site c est pour ca que vous ne pouvez pas vous inscrire pour le moment .,2021-04-14T14:24:50.000Z,,,La plateforme de réservation sera ouverte du 19 Avril au 2 mai .donc attendez le 19 on n est que le 14 .C est ecrit sur le site c est pour ca que vous ne pouvez pas vous inscrire pour le moment .,La plateforme de réservation sera… La plateforme de réservation sera ouverte du 19 Avril au 2 mai .donc attendez le 19 on n est que le 14 .C est ecrit sur le site c est pour ca que vous ne pouvez pas vous inscrire pour le moment .
845,honteux....on est vraiment pris pour…,1,"honteux....on est vraiment pris pour des abrutis. Avec une dépense de 250€ PAR SEMAINE; je crois que je vais arrêter d'y aller.
On rempli des vignettes et bien sur plus de produits et en plus on se fait jeter a l accueil
elles sont au courant de rien quelle communication",2021-04-14T13:32:42.000Z,,,honteux....on est vraiment pris pour des abrutis. Avec une dépense de 250€ PAR SEMAINE; je crois que je vais arrêter d'y aller.On rempli des vignettes et bien sur plus de produits et en plus on se fait jeter a l accueilelles sont au courant de rien quelle communication,honteux....on est vraiment pris pour… honteux....on est vraiment pris pour des abrutis. Avec une dépense de 250€ PAR SEMAINE; je crois que je vais arrêter d'y aller.On rempli des vignettes et bien sur plus de produits et en plus on se fait jeter a l accueilelles sont au courant de rien quelle communication
846,Pas moyen de s inscrire pour mécontente,1,Pas moyen de s inscrire pour tefal. On nous prends vraiment pour des pigeons.. Déjà les casseroles ça été dur à les avoir.. 😠😡😡Vous faites un site inaccessible 😡😡,2021-04-14T06:43:59.000Z,,,Pas moyen de s inscrire pour tefal. On nous prends vraiment pour des pigeons.. Déjà les casseroles ça été dur à les avoir.. 😠😡😡Vous faites un site inaccessible 😡😡,Pas moyen de s inscrire pour mécontente Pas moyen de s inscrire pour tefal. On nous prends vraiment pour des pigeons.. Déjà les casseroles ça été dur à les avoir.. 😠😡😡Vous faites un site inaccessible 😡😡
847,erratum tefal carrefour site introuvable,1,"Bonjour , impossible de trouver le site optefal.carrefour, je ne vous parle pas du numero de telephone, qui passe une bonne musique de jazz, mais c'est pas ca que l on attend. c est une faute commercial de communiquer sur ce site par erratum en plus. Super décu.",2021-04-13T19:44:38.000Z,,,"Bonjour , impossible de trouver le site optefal.carrefour, je ne vous parle pas du numero de telephone, qui passe une bonne musique de jazz, mais c'est pas ca que l on attend. c est une faute commercial de communiquer sur ce site par erratum en plus. Super décu.","erratum tefal carrefour site introuvable Bonjour , impossible de trouver le site optefal.carrefour, je ne vous parle pas du numero de telephone, qui passe une bonne musique de jazz, mais c'est pas ca que l on attend. c est une faute commercial de communiquer sur ce site par erratum en plus. Super décu."
848,Et même si je pouvais,1,"Et même si je pouvais, ZÉRO ÉTOILE, ZÉRO POINTÉ. Site pour commander l’opération TEFAL concerne celle de 2020.
Pourtant la pub CARREFOUR de cette semaine propose encore les vignettes TEFAL...",2021-04-13T18:18:09.000Z,,,"Et même si je pouvais, ZÉRO ÉTOILE, ZÉRO POINTÉ. Site pour commander l’opération TEFAL concerne celle de 2020.Pourtant la pub CARREFOUR de cette semaine propose encore les vignettes TEFAL...","Et même si je pouvais Et même si je pouvais, ZÉRO ÉTOILE, ZÉRO POINTÉ. Site pour commander l’opération TEFAL concerne celle de 2020.Pourtant la pub CARREFOUR de cette semaine propose encore les vignettes TEFAL..."
849,opération Tefal à 5 €,1,"vraiment pas sérieux, impossible de pouvoir réserver des produits Tefal concernant l'opération à 5 € en ligne.
Les magasins sont tous vides de produits dans mon secteur, plus de balances ni de presse agrume, en fait on trouve uniquement des cafetières. Non, mais je rêve, on est en 2021, qui boit encore du café dans des machines d'un autre siècle. On nous conseille de réserver les produits en lignes, pour ce les faire livrer dans le carrefour de son choix.... Oui, sauf que c'est impossible, à moins d'avoir une licence ou un Master en informatique. Une honte !!!!!",2021-04-13T16:37:50.000Z,,,"vraiment pas sérieux, impossible de pouvoir réserver des produits Tefal concernant l'opération à 5 € en ligne.Les magasins sont tous vides de produits dans mon secteur, plus de balances ni de presse agrume, en fait on trouve uniquement des cafetières. Non, mais je rêve, on est en 2021, qui boit encore du café dans des machines d'un autre siècle. On nous conseille de réserver les produits en lignes, pour ce les faire livrer dans le carrefour de son choix.... Oui, sauf que c'est impossible, à moins d'avoir une licence ou un Master en informatique. Une honte !!!!!","opération Tefal à 5 € vraiment pas sérieux, impossible de pouvoir réserver des produits Tefal concernant l'opération à 5 € en ligne.Les magasins sont tous vides de produits dans mon secteur, plus de balances ni de presse agrume, en fait on trouve uniquement des cafetières. Non, mais je rêve, on est en 2021, qui boit encore du café dans des machines d'un autre siècle. On nous conseille de réserver les produits en lignes, pour ce les faire livrer dans le carrefour de son choix.... Oui, sauf que c'est impossible, à moins d'avoir une licence ou un Master en informatique. Une honte !!!!!"
850,Site inaccessible,1,Site inaccessible.  Impossible d obtenir la balance depuis trop longtemps.  Pas sérieux,2021-04-13T14:26:39.000Z,,,Site inaccessible.  Impossible d obtenir la balance depuis trop longtemps.  Pas sérieux,Site inaccessible Site inaccessible.  Impossible d obtenir la balance depuis trop longtemps.  Pas sérieux
851,Rupture produits tefal,1,"Les produits Tefal étant en rupture de stock, l'hôtesse d'accueil me conseille de commander sur op-tefal.carrefour.fr, mais c""est impossible...",2021-04-13T10:02:48.000Z,,,"Les produits Tefal étant en rupture de stock, l'hôtesse d'accueil me conseille de commander sur op-tefal.carrefour.fr, mais c""est impossible...","Rupture produits tefal Les produits Tefal étant en rupture de stock, l'hôtesse d'accueil me conseille de commander sur op-tefal.carrefour.fr, mais c""est impossible..."
852,Une HONTE !,1,"Une HONTE !
RUPTURE DE STOCK POUR LES OFFRES TEFAL ET, DE PLUS, IMPOSSIBLE D'ACCEDER AU SITE DE RESERVATION !
VIVE Carrefour !!!!!!!!",2021-04-13T08:26:46.000Z,,,"Une HONTE !RUPTURE DE STOCK POUR LES OFFRES TEFAL ET, DE PLUS, IMPOSSIBLE D'ACCEDER AU SITE DE RESERVATION !VIVE Carrefour !!!!!!!!","Une HONTE ! Une HONTE !RUPTURE DE STOCK POUR LES OFFRES TEFAL ET, DE PLUS, IMPOSSIBLE D'ACCEDER AU SITE DE RESERVATION !VIVE Carrefour !!!!!!!!"
853,de pire en pire ce carrefour Balaruc,1,"de pire en pire ce carrefour Balaruc, rayons toujours vide des palettes dans les allées, personnels pas aimables l'opération TEFAL pas de produits disponibles; une honte",2021-04-13T06:20:25.000Z,,,"de pire en pire ce carrefour Balaruc, rayons toujours vide des palettes dans les allées, personnels pas aimables l'opération TEFAL pas de produits disponibles; une honte","de pire en pire ce carrefour Balaruc de pire en pire ce carrefour Balaruc, rayons toujours vide des palettes dans les allées, personnels pas aimables l'opération TEFAL pas de produits disponibles; une honte"
854,Extrêmement mécontente de carrefour,1,"Extrêmement mécontente de carrefour. Commande passée le 6 avril pour un salon de jardin en promo (modèle Tello a 199 euros). Commande n° 2035413. Commande annulée le 9 avril par le dépôt !! Premier appel au service client, une ""conseillère"" qui ne veut rien comprendre et me raccroche au nez. 2eme appel là on m'écoute, on comprend, on me dit qu'on va m'envoyer des le lendemain un code promo pour que je puisse repasser la commande vu que depuis le salon n'est plus en promo (on en vient a penser que la commande a été annulée en raison.du prix promotionnel obtenu) 3 jours après toujours aucun mail, je rappelle ce soir et on me dit que le dépôt a décidé que je devais passer de nouveau la commande au prix fort, et que je serai remboursée plus tard de la différence, mais aucun écrit, et puis pourquoi devrais je encore avancer de l'argent (317 euros au lieu de 199 euros.!!)  comme je suis assez revendicative je me fais de nouveau raccrocher au nez
Alors moi je dis Carrefour l'honnêteté connaissent pas,  je vais envoyer un courrier au service de la repression des fraudes. Vous devez me fournir le salon au prix de 199 euros !!
Bilan des courses, 3 appels au service clients. On me raccroche 2 fois au nez quand j'ose demander leur nom a mes interlocutrices, ces personnes ne vous laissent pas vous exprimer, vous coupent la parole, haussent le ton. Service clients qui n'a aucune notion du respect du client. Pour votre info ces deux jolis petits messages vont inonder le web histoire de faire comprendre comment carrefour traite ses clients.",2021-04-12T18:36:25.000Z,,,"Extrêmement mécontente de carrefour. Commande passée le 6 avril pour un salon de jardin en promo (modèle Tello a 199 euros). Commande n° 2035413. Commande annulée le 9 avril par le dépôt !! Premier appel au service client, une ""conseillère"" qui ne veut rien comprendre et me raccroche au nez. 2eme appel là on m'écoute, on comprend, on me dit qu'on va m'envoyer des le lendemain un code promo pour que je puisse repasser la commande vu que depuis le salon n'est plus en promo (on en vient a penser que la commande a été annulée en raison.du prix promotionnel obtenu) 3 jours après toujours aucun mail, je rappelle ce soir et on me dit que le dépôt a décidé que je devais passer de nouveau la commande au prix fort, et que je serai remboursée plus tard de la différence, mais aucun écrit, et puis pourquoi devrais je encore avancer de l'argent (317 euros au lieu de 199 euros.!!)  comme je suis assez revendicative je me fais de nouveau raccrocher au nezAlors moi je dis Carrefour l'honnêteté connaissent pas,  je vais envoyer un courrier au service de la repression des fraudes. Vous devez me fournir le salon au prix de 199 euros !!Bilan des courses, 3 appels au service clients. On me raccroche 2 fois au nez quand j'ose demander leur nom a mes interlocutrices, ces personnes ne vous laissent pas vous exprimer, vous coupent la parole, haussent le ton. Service clients qui n'a aucune notion du respect du client. Pour votre info ces deux jolis petits messages vont inonder le web histoire de faire comprendre comment carrefour traite ses clients.","Extrêmement mécontente de carrefour Extrêmement mécontente de carrefour. Commande passée le 6 avril pour un salon de jardin en promo (modèle Tello a 199 euros). Commande n° 2035413. Commande annulée le 9 avril par le dépôt !! Premier appel au service client, une ""conseillère"" qui ne veut rien comprendre et me raccroche au nez. 2eme appel là on m'écoute, on comprend, on me dit qu'on va m'envoyer des le lendemain un code promo pour que je puisse repasser la commande vu que depuis le salon n'est plus en promo (on en vient a penser que la commande a été annulée en raison.du prix promotionnel obtenu) 3 jours après toujours aucun mail, je rappelle ce soir et on me dit que le dépôt a décidé que je devais passer de nouveau la commande au prix fort, et que je serai remboursée plus tard de la différence, mais aucun écrit, et puis pourquoi devrais je encore avancer de l'argent (317 euros au lieu de 199 euros.!!)  comme je suis assez revendicative je me fais de nouveau raccrocher au nezAlors moi je dis Carrefour l'honnêteté connaissent pas,  je vais envoyer un courrier au service de la repression des fraudes. Vous devez me fournir le salon au prix de 199 euros !!Bilan des courses, 3 appels au service clients. On me raccroche 2 fois au nez quand j'ose demander leur nom a mes interlocutrices, ces personnes ne vous laissent pas vous exprimer, vous coupent la parole, haussent le ton. Service clients qui n'a aucune notion du respect du client. Pour votre info ces deux jolis petits messages vont inonder le web histoire de faire comprendre comment carrefour traite ses clients."
855,A chaque fois,2,"A chaque fois, c'est la même chose. Pas assez d'articles pour tout le monde. Une fois que nous avons les vignettes, plus moyen d'avoir les articles 😒. Carrefour devrait prendre exemple sur intermarché, qui nous permet de commander les articles en rupture, ce qui me paraît normal. Bravo à intermarché. Carrefour attire les clients avec ses vignettes ""bidon"".. 👎",2021-04-12T17:08:41.000Z,,,"A chaque fois, c'est la même chose. Pas assez d'articles pour tout le monde. Une fois que nous avons les vignettes, plus moyen d'avoir les articles 😒. Carrefour devrait prendre exemple sur intermarché, qui nous permet de commander les articles en rupture, ce qui me paraît normal. Bravo à intermarché. Carrefour attire les clients avec ses vignettes ""bidon"".. 👎","A chaque fois A chaque fois, c'est la même chose. Pas assez d'articles pour tout le monde. Une fois que nous avons les vignettes, plus moyen d'avoir les articles 😒. Carrefour devrait prendre exemple sur intermarché, qui nous permet de commander les articles en rupture, ce qui me paraît normal. Bravo à intermarché. Carrefour attire les clients avec ses vignettes ""bidon"".. 👎"
856,Opération Téfal désastreuse,1,Opération Téfal désastreuse. Rupture de stock sur les balances de cuisine. Un site pour commander inaccessible; op-tefal.carrefour.fr (info d'une hôtesse de caisse),2021-04-12T12:07:08.000Z,,,Opération Téfal désastreuse. Rupture de stock sur les balances de cuisine. Un site pour commander inaccessible; op-tefal.carrefour.fr (info d'une hôtesse de caisse),Opération Téfal désastreuse Opération Téfal désastreuse. Rupture de stock sur les balances de cuisine. Un site pour commander inaccessible; op-tefal.carrefour.fr (info d'une hôtesse de caisse)
857,Opération Tefal désastreuse,1,"Nous avons parcouru 6 Carrefour (Evry, Villabé, Athis-Mons, Noisy le Grand, Étiolles) différents pour constater que le presse agrumes est en rupture de stock partout, nous espérons un arrivage mais au lieu de ça, nous apprenons que l'offre est écourté au 18 mai. Soit quasi aucune chance d'en avoir un.",2021-04-12T00:45:16.000Z,,,"Nous avons parcouru 6 Carrefour (Evry, Villabé, Athis-Mons, Noisy le Grand, Étiolles) différents pour constater que le presse agrumes est en rupture de stock partout, nous espérons un arrivage mais au lieu de ça, nous apprenons que l'offre est écourté au 18 mai. Soit quasi aucune chance d'en avoir un.","Opération Tefal désastreuse Nous avons parcouru 6 Carrefour (Evry, Villabé, Athis-Mons, Noisy le Grand, Étiolles) différents pour constater que le presse agrumes est en rupture de stock partout, nous espérons un arrivage mais au lieu de ça, nous apprenons que l'offre est écourté au 18 mai. Soit quasi aucune chance d'en avoir un."
858,Hyper déçu par l'offre vignette TEFAL !,1,"Hyper déçu par l'offre vignette TEFAL ! Toutes les vignettes pour achat du mug et bizarrement rupture du stock dans plusieurs magasins depuis 3 semaines ! L'argument sur le site du non gaspillage et réduction de la date de fin. Euh franchement, mauvaise communication et pas crédible.",2021-04-11T20:57:59.000Z,,,"Hyper déçu par l'offre vignette TEFAL ! Toutes les vignettes pour achat du mug et bizarrement rupture du stock dans plusieurs magasins depuis 3 semaines ! L'argument sur le site du non gaspillage et réduction de la date de fin. Euh franchement, mauvaise communication et pas crédible.","Hyper déçu par l'offre vignette TEFAL ! Hyper déçu par l'offre vignette TEFAL ! Toutes les vignettes pour achat du mug et bizarrement rupture du stock dans plusieurs magasins depuis 3 semaines ! L'argument sur le site du non gaspillage et réduction de la date de fin. Euh franchement, mauvaise communication et pas crédible."
859,Je fais mes courses la bas,3,"Je fais mes courses la bas. C'est un peu cher, un peu grand, mais au moins on y trouve tout ce que l'on cherche.",2021-04-11T13:22:29.000Z,,,"Je fais mes courses la bas. C'est un peu cher, un peu grand, mais au moins on y trouve tout ce que l'on cherche.","Je fais mes courses la bas Je fais mes courses la bas. C'est un peu cher, un peu grand, mais au moins on y trouve tout ce que l'on cherche."
860,Rupture stock pressé agrume et mug de l…,1,Rupture stock pressé agrume et mug de l opération vignettes tefal alors que lnoperation dure jusqu au 18 avril. Ou peut on commander ces articles?,2021-04-10T15:11:47.000Z,,,Rupture stock pressé agrume et mug de l opération vignettes tefal alors que lnoperation dure jusqu au 18 avril. Ou peut on commander ces articles?,Rupture stock pressé agrume et mug de l… Rupture stock pressé agrume et mug de l opération vignettes tefal alors que lnoperation dure jusqu au 18 avril. Ou peut on commander ces articles?
861,Carrefour Sannois 95110 qui ne…,1,Bravo à Carrefour Sannois 95110 qui ne tient pas compte de la jauge maximum alors que nous sommes confinés samedi 10 avril à 15h30 les gens les uns contre les autres aucune restriction pour entrer dans le magasin apparemment le magasin a une jauge de 800 personnes nous étions minimum le double avec des rayons à moitié vide quand vous parlez avec les employés ils disent que la direction s’en fiche et que c’est comme cela dans tous les magasins que fait le préfet pour intervenir,2021-04-10T14:26:34.000Z,,,Bravo à Carrefour Sannois 95110 qui ne tient pas compte de la jauge maximum alors que nous sommes confinés samedi 10 avril à 15h30 les gens les uns contre les autres aucune restriction pour entrer dans le magasin apparemment le magasin a une jauge de 800 personnes nous étions minimum le double avec des rayons à moitié vide quand vous parlez avec les employés ils disent que la direction s’en fiche et que c’est comme cela dans tous les magasins que fait le préfet pour intervenir,Carrefour Sannois 95110 qui ne… Bravo à Carrefour Sannois 95110 qui ne tient pas compte de la jauge maximum alors que nous sommes confinés samedi 10 avril à 15h30 les gens les uns contre les autres aucune restriction pour entrer dans le magasin apparemment le magasin a une jauge de 800 personnes nous étions minimum le double avec des rayons à moitié vide quand vous parlez avec les employés ils disent que la direction s’en fiche et que c’est comme cela dans tous les magasins que fait le préfet pour intervenir
862,ARNAQUE VIGNETTES  TEFAL,1,"CARREFOUR ROCROI
1 mois 1/2 avant la fin de la promo vignettes TEFAL, personne ne parvient à avoir la balance TEFAL et aucune information dispo sur ce qu'on pourrait faire.",2021-04-10T08:39:36.000Z,,,"CARREFOUR ROCROI1 mois 1/2 avant la fin de la promo vignettes TEFAL, personne ne parvient à avoir la balance TEFAL et aucune information dispo sur ce qu'on pourrait faire.","ARNAQUE VIGNETTES  TEFAL CARREFOUR ROCROI1 mois 1/2 avant la fin de la promo vignettes TEFAL, personne ne parvient à avoir la balance TEFAL et aucune information dispo sur ce qu'on pourrait faire."
863,"Acheter produits locaux, ou tout au moins français",2,"bonjour
Je trouve le nouveau Carrefour Le Ray Gorbella a Nice bien achalandé..
dommage toutefois qu'en ce qui concerne fruits et légumes, les 3/4 proviennent d'Espagne ou ailleurs, à des prix peu compétitifs en plus
Je rappelle au Directeur que nous sommes dans un pays de soleil, en FRANCE, et que nous aimerions des produits locaux ou du moins français!
Je les achète donc soit aux marchés, soit à Lidl, ou Monoprix...
Merci vs attention",2021-04-09T17:04:52.000Z,,,"bonjourJe trouve le nouveau Carrefour Le Ray Gorbella a Nice bien achalandé..dommage toutefois qu'en ce qui concerne fruits et légumes, les 3/4 proviennent d'Espagne ou ailleurs, à des prix peu compétitifs en plusJe rappelle au Directeur que nous sommes dans un pays de soleil, en FRANCE, et que nous aimerions des produits locaux ou du moins français!Je les achète donc soit aux marchés, soit à Lidl, ou Monoprix...Merci vs attention","Acheter produits locaux, ou tout au moins français bonjourJe trouve le nouveau Carrefour Le Ray Gorbella a Nice bien achalandé..dommage toutefois qu'en ce qui concerne fruits et légumes, les 3/4 proviennent d'Espagne ou ailleurs, à des prix peu compétitifs en plusJe rappelle au Directeur que nous sommes dans un pays de soleil, en FRANCE, et que nous aimerions des produits locaux ou du moins français!Je les achète donc soit aux marchés, soit à Lidl, ou Monoprix...Merci vs attention"
864,Carrefour Sainte Geneviève des bois,5,"Carrefour Sainte Geneviève des bois 
Click and Collecte au top",2021-04-09T11:41:49.000Z,,,Carrefour Sainte Geneviève des bois Click and Collecte au top,Carrefour Sainte Geneviève des bois Carrefour Sainte Geneviève des bois Click and Collecte au top
865,Refus de la part du service client…,1,"Refus de la part du service client d'informer sur quel prestataire réalise les livraisons des commandes en lignes, on aura tout vu niveau c*nnerie.",2021-04-09T10:55:54.000Z,,,"Refus de la part du service client d'informer sur quel prestataire réalise les livraisons des commandes en lignes, on aura tout vu niveau c*nnerie.","Refus de la part du service client… Refus de la part du service client d'informer sur quel prestataire réalise les livraisons des commandes en lignes, on aura tout vu niveau c*nnerie."
866,Bon service client,5,"J'ai commandé au drive, j'ai eu un souci avec ma commande (j'ai commandé de la viande, il n'y avais pas la moitié des quantités commandées: par exemple, 1kg de poulet, je n'en ai reçu que 500g).
J'ai contacté le service client, qui m'a remboursé la différence rapidement.
Le magasin ou je vais est propre et bien entretenu: certains employés sont désagréables certes, mais leurs collègues sont très gentils.
Le carrefour où je vais (Montesson) est très soucieux du client, et ça devient bien rare.",2021-04-09T08:37:16.000Z,,,"J'ai commandé au drive, j'ai eu un souci avec ma commande (j'ai commandé de la viande, il n'y avais pas la moitié des quantités commandées: par exemple, 1kg de poulet, je n'en ai reçu que 500g).J'ai contacté le service client, qui m'a remboursé la différence rapidement.Le magasin ou je vais est propre et bien entretenu: certains employés sont désagréables certes, mais leurs collègues sont très gentils.Le carrefour où je vais (Montesson) est très soucieux du client, et ça devient bien rare.","Bon service client J'ai commandé au drive, j'ai eu un souci avec ma commande (j'ai commandé de la viande, il n'y avais pas la moitié des quantités commandées: par exemple, 1kg de poulet, je n'en ai reçu que 500g).J'ai contacté le service client, qui m'a remboursé la différence rapidement.Le magasin ou je vais est propre et bien entretenu: certains employés sont désagréables certes, mais leurs collègues sont très gentils.Le carrefour où je vais (Montesson) est très soucieux du client, et ça devient bien rare."
867,Carrefour se moque de ses clients,1,"Carrefour se moque de ses clients
Lisezla compostion des produits Carrefour vous eviterez de rentrer a nouveau
Le lard petit dejeuner fumé contiennent  10additifs et sont gaves d eau  les toats n ont pas le format pour faire des croque monsieur   Les gateaux frangipanes ne conyiennent pas un gramme  d amande",2021-04-08T19:56:56.000Z,,,Carrefour se moque de ses clientsLisezla compostion des produits Carrefour vous eviterez de rentrer a nouveauLe lard petit dejeuner fumé contiennent  10additifs et sont gaves d eau  les toats n ont pas le format pour faire des croque monsieur   Les gateaux frangipanes ne conyiennent pas un gramme  d amande,Carrefour se moque de ses clients Carrefour se moque de ses clientsLisezla compostion des produits Carrefour vous eviterez de rentrer a nouveauLe lard petit dejeuner fumé contiennent  10additifs et sont gaves d eau  les toats n ont pas le format pour faire des croque monsieur   Les gateaux frangipanes ne conyiennent pas un gramme  d amande
868,La livraison arrivée incomplète mais entierement factureé,1,"La livraison est arrivée incomplète, mais tous les articles ont été facturés!

J'ai écrit deux courriels et me suis plaint en ligne. 

Pas de réponse. Les employés n'assument aucune responsabilité pour leur travail. 

LE VOL RESTE LE VOL. Juste terriblement embarrassant.",2021-04-07T17:51:19.000Z,,,"La livraison est arrivée incomplète, mais tous les articles ont été facturés!J'ai écrit deux courriels et me suis plaint en ligne. Pas de réponse. Les employés n'assument aucune responsabilité pour leur travail. LE VOL RESTE LE VOL. Juste terriblement embarrassant.","La livraison arrivée incomplète mais entierement factureé La livraison est arrivée incomplète, mais tous les articles ont été facturés!J'ai écrit deux courriels et me suis plaint en ligne. Pas de réponse. Les employés n'assument aucune responsabilité pour leur travail. LE VOL RESTE LE VOL. Juste terriblement embarrassant."
869,Carrefour assurances plus jamais,1,"Carrefour assurances : Pire service de ma vie et pourtant j'en ai vu...
J'ai souscrit à une assurance pour mon chat le 11/03/2021, j'ai bien évidemment commencé par payer et payer et payer (mois d'avances ect ect..) bref quand il faut prélever du pognon tu peux être sur que ça ne traine pas... Par contre depuis, j'ai transmis les documents, les ai relancés plus de 3/4 fois toujours aucune réponse alors voilà maintenant je ne sais même pas si je bénéficie de la moindre garantie car l'assureur fait le mort... Plus que déçu j'espère au moins que je serai remboursé..",2021-04-07T06:32:58.000Z,,,"Carrefour assurances : Pire service de ma vie et pourtant j'en ai vu...J'ai souscrit à une assurance pour mon chat le 11/03/2021, j'ai bien évidemment commencé par payer et payer et payer (mois d'avances ect ect..) bref quand il faut prélever du pognon tu peux être sur que ça ne traine pas... Par contre depuis, j'ai transmis les documents, les ai relancés plus de 3/4 fois toujours aucune réponse alors voilà maintenant je ne sais même pas si je bénéficie de la moindre garantie car l'assureur fait le mort... Plus que déçu j'espère au moins que je serai remboursé..","Carrefour assurances plus jamais Carrefour assurances : Pire service de ma vie et pourtant j'en ai vu...J'ai souscrit à une assurance pour mon chat le 11/03/2021, j'ai bien évidemment commencé par payer et payer et payer (mois d'avances ect ect..) bref quand il faut prélever du pognon tu peux être sur que ça ne traine pas... Par contre depuis, j'ai transmis les documents, les ai relancés plus de 3/4 fois toujours aucune réponse alors voilà maintenant je ne sais même pas si je bénéficie de la moindre garantie car l'assureur fait le mort... Plus que déçu j'espère au moins que je serai remboursé.."
870,Un gros problème,4,"Un gros problème, manque de nombreux produits dans les rayons, aussi bien que sur le site drive, exemples truite vidée, crevette cuite, et j'en passe.
Déçu.",2021-04-05T14:39:59.000Z,,,"Un gros problème, manque de nombreux produits dans les rayons, aussi bien que sur le site drive, exemples truite vidée, crevette cuite, et j'en passe.Déçu.","Un gros problème Un gros problème, manque de nombreux produits dans les rayons, aussi bien que sur le site drive, exemples truite vidée, crevette cuite, et j'en passe.Déçu."
871,Loin d'être parfait mais ce…,5,Loin d'être parfait mais ce distributeur a le meilleur rapport qualité-prix.,2021-04-03T20:46:11.000Z,,,Loin d'être parfait mais ce distributeur a le meilleur rapport qualité-prix.,Loin d'être parfait mais ce… Loin d'être parfait mais ce distributeur a le meilleur rapport qualité-prix.
