,titles,ratings,reviews,dates,replies,reply_dates,combined_reviews,clean_BE,clean_PD,clean_DM,clean_AS,has_respond
617,SURTOUT N'ACHETEZ PAS SILVER CREST DE…,1,"SURTOUT N'ACHETEZ PAS SILVER CREST DE LIDDLE !
Nous avons acheté deux grills. Le 1er est tombé en panne au bout de quelques semaines. nous en avons racheté un 2 ème sans faire jouer la garantie. Il est tombé également en panne 5 mois après. Ce n'était pas le même modèle. Là on fait jouer la garantie
Premier coup de tel au service client : on me passe le SAV qui m'annonce qu'un nouveau grill me sera livré dans la semaine et que si je ne l'ai pas lundi je dois les rappeler.
2eme coup de tel : le lundi n'ayant rien reçu je réexplique au service client qui me passe finalement le SAV. Celui ci me dit :"" il arrive demain entre 9 et 13h30"". 
Nous sommes demain fin de journée et le grill n'est toujours pas arrivé.
3eme coup de tel : le service client m'informe qu'ils vont me passer le SAV et que si je ne peux pas leur parler (sic !) Ils me rappelleront...
La communication est coupée et bien sûr on ne m'a pas rappelée ! 
4eme coup de tel : le service client auquel je dois réexpliquer pour la 4ee fois la situation, ne me passe pas le sav et ne me laisse pas finir mes phrases. il s'érige en juge et finit par me raccrocher au nez !!!
Conclusion : il est clair que LIDDLE n'a aucunement l'intention de faire jouer la garantie. Le but est de faire durer jusqu'à ce qu'on se lasse... Les produits ne sont pas de qualité et le service client/sav incompétent et incorrect. Alors méfiez vous !!!",2022-02-22T15:44:23.000Z,,,"SURTOUT N'ACHETEZ PAS SILVER CREST DE… SURTOUT N'ACHETEZ PAS SILVER CREST DE LIDDLE !
Nous avons acheté deux grills. Le 1er est tombé en panne au bout de quelques semaines. nous en avons racheté un 2 ème sans faire jouer la garantie. Il est tombé également en panne 5 mois après. Ce n'était pas le même modèle. Là on fait jouer la garantie
Premier coup de tel au service client : on me passe le SAV qui m'annonce qu'un nouveau grill me sera livré dans la semaine et que si je ne l'ai pas lundi je dois les rappeler.
2eme coup de tel : le lundi n'ayant rien reçu je réexplique au service client qui me passe finalement le SAV. Celui ci me dit :"" il arrive demain entre 9 et 13h30"". 
Nous sommes demain fin de journée et le grill n'est toujours pas arrivé.
3eme coup de tel : le service client m'informe qu'ils vont me passer le SAV et que si je ne peux pas leur parler (sic !) Ils me rappelleront...
La communication est coupée et bien sûr on ne m'a pas rappelée ! 
4eme coup de tel : le service client auquel je dois réexpliquer pour la 4ee fois la situation, ne me passe pas le sav et ne me laisse pas finir mes phrases. il s'érige en juge et finit par me raccrocher au nez !!!
Conclusion : il est clair que LIDDLE n'a aucunement l'intention de faire jouer la garantie. Le but est de faire durer jusqu'à ce qu'on se lasse... Les produits ne sont pas de qualité et le service client/sav incompétent et incorrect. Alors méfiez vous !!!",0,0,0,1,0
618,Je sors de LIDL à Caluire et Cuire 21…,2,"Je sors de LIDL à Caluire et Cuire 21 rue Pierre BRUNIER 69300...C'est le plus proche de chez nous et on y trouve quelques avantages mais à quel prix !!!
Je ne sais si le personnel y est suffisant ou s'il est mal organisé mais ce magasin qui est relativement petit conjugue tous les défauts d'une moyenne surface ! 
Ce matin, le personnel avait encombré les allées de palettes et autres réceptacles à cartons et circulait avec des transpalettes pour avitailler des rayons plus ou moins dévastés.J'avais opté pour un petit caddie connaissant l'exiguité du magasin mais j'ai passé tout mon temps à manoeuvrer pour éviter l'un , laisser passer l'autre etc ...à 11 heures la mise en place des rayons n'est pas terminée d'où pas de prix indiqué et comme pas de scanner , c'est la galère pour se décider à acheter quoi que ce soit. Par bonheur , le personnel est aimable mais on hésite à l'interpeller 3 à 5 fois quand on fait ses courses car on voit bien qu'ils sont débordés...Pas de saumon fumé en rayon ! mince on est venu de loin pour ça ! on questionne , l'employé va le chercher en réserve ! "" à 11 heures"" ! .Quand comptaient ils le mettre en vente ? et les invendus autres qu' alimentaire s'empilent inextricablement dans des rayons improbables où plus personne ne retrouvera ce qu'il cherche car les articles sont dépareillés et sans étiquette...On en déduit que les galériens parent au plus pressé et qu'ils ne peuvent tout gérer. L'image de LIDL s'est dégradée au fil du temps et je ne serai pas surpris qu'il perde sa qualité de soi-disant"" meilleure enseigne de FRANCE"" .",2022-02-19T15:37:45.000Z,,,"Je sors de LIDL à Caluire et Cuire 21… Je sors de LIDL à Caluire et Cuire 21 rue Pierre BRUNIER 69300...C'est le plus proche de chez nous et on y trouve quelques avantages mais à quel prix !!!
Je ne sais si le personnel y est suffisant ou s'il est mal organisé mais ce magasin qui est relativement petit conjugue tous les défauts d'une moyenne surface ! 
Ce matin, le personnel avait encombré les allées de palettes et autres réceptacles à cartons et circulait avec des transpalettes pour avitailler des rayons plus ou moins dévastés.J'avais opté pour un petit caddie connaissant l'exiguité du magasin mais j'ai passé tout mon temps à manoeuvrer pour éviter l'un , laisser passer l'autre etc ...à 11 heures la mise en place des rayons n'est pas terminée d'où pas de prix indiqué et comme pas de scanner , c'est la galère pour se décider à acheter quoi que ce soit. Par bonheur , le personnel est aimable mais on hésite à l'interpeller 3 à 5 fois quand on fait ses courses car on voit bien qu'ils sont débordés...Pas de saumon fumé en rayon ! mince on est venu de loin pour ça ! on questionne , l'employé va le chercher en réserve ! "" à 11 heures"" ! .Quand comptaient ils le mettre en vente ? et les invendus autres qu' alimentaire s'empilent inextricablement dans des rayons improbables où plus personne ne retrouvera ce qu'il cherche car les articles sont dépareillés et sans étiquette...On en déduit que les galériens parent au plus pressé et qu'ils ne peuvent tout gérer. L'image de LIDL s'est dégradée au fil du temps et je ne serai pas surpris qu'il perde sa qualité de soi-disant"" meilleure enseigne de FRANCE"" .",1,0,0,0,0
619,FAUSSE PROMO PQ,2,"18/02/2022.
Je sorts du Lidl Atlanta Toulouse, pour mes achats.
Encore une fausse promo sur le PQ.
Au catalogue les 10 rouleaux 4 plis sont en Promo catalogue du 16 au 22/02/2022) à 3.29€. 
Ils se trouvent bien en rayon, mais il n'y a pas le prix. J'en prends donc et en caisse je demande le prix.
4.09€. 
Je conteste en sortant la promo sur mon téléphone et le responsable; un petit blondinet à lunette (il se reconnaitra), me tombe dessus en m'expliquant qu'il faut bien regarder le prix.
Je lui indique que le prix est absent = il réplique, très hautain que se n'est pas possible.
Nous y allons ensemble dans le rayon et il constate mes dires.
Retour en caisse et là il m'explique que c'est une erreur du catalogue. Il vaut + de 4€.
Ce n'est pas la première fois que ce genre de mésaventures se produit.
Je passe sur du poisson dont la date est bonne et qui sent mauvais au déballage.
Au moins reconnaitre ses tors et être courtois, c'est la moindre des choses quand on est commerçant !
La prochaine; courrier à la répression des fraudes et de la consommation: ASSEZ de ces pratiques !",2022-02-18T16:48:59.000Z,,,"FAUSSE PROMO PQ 18/02/2022.
Je sorts du Lidl Atlanta Toulouse, pour mes achats.
Encore une fausse promo sur le PQ.
Au catalogue les 10 rouleaux 4 plis sont en Promo catalogue du 16 au 22/02/2022) à 3.29€. 
Ils se trouvent bien en rayon, mais il n'y a pas le prix. J'en prends donc et en caisse je demande le prix.
4.09€. 
Je conteste en sortant la promo sur mon téléphone et le responsable; un petit blondinet à lunette (il se reconnaitra), me tombe dessus en m'expliquant qu'il faut bien regarder le prix.
Je lui indique que le prix est absent = il réplique, très hautain que se n'est pas possible.
Nous y allons ensemble dans le rayon et il constate mes dires.
Retour en caisse et là il m'explique que c'est une erreur du catalogue. Il vaut + de 4€.
Ce n'est pas la première fois que ce genre de mésaventures se produit.
Je passe sur du poisson dont la date est bonne et qui sent mauvais au déballage.
Au moins reconnaitre ses tors et être courtois, c'est la moindre des choses quand on est commerçant !
La prochaine; courrier à la répression des fraudes et de la consommation: ASSEZ de ces pratiques !",1,0,0,0,0
620,Je trouve Lidl très bien,5,,2022-02-18T07:09:35.000Z,,,Je trouve Lidl très bien,0,0,0,0,0
621,FAUSSE PROMO,1,"Bonjour,

Je vous fait part que ce Matin je me suis rendu dans une Des Enseigne de LIDL ( ULIS 91 ESSONNE ) et vous informe d'un Prix affiché illégal Ce 17 02 2022 l'affichage du prix des 3 lots Nettoyant Lave-Vaiselle SUN CLASSIC soit disant en Promo et Offre Spécial ne Corresponder pas du tout au PRIX  INDIQUER SUR L'étiquette : Lot De 3 / 3 Pièces : 3.15 Euros / 1 Pièce : 1.15 Euro !!!

Hors Arriver en Caisse on me Compte 3 x 3.15 Euros  ??

De Plus en Demandant Réclamation Auprès de la Responsable du Magasin et qui n'a vraiment pas été du tout Aimable et Très Agressif M'a Répondu que cela été comme cela !!!

Je Précise que la Veille je me suis rendu sur une autrte enseigne "" Intermarché "" Et que le mème Produit été de 3.09 Euros pour 3 Articles et d'une Remise Immédiat à - 2.48 Euros !!! ( Vous Pouvez Vérifier dans cette Enseigne Sans Problème ).

Je constate que quand il faut faire une réclamation ou d'un remboursement sur un produit les Responsables sont pas du tout Courtois avec la Clientèle !!",2022-02-17T16:12:34.000Z,,,"FAUSSE PROMO Bonjour,

Je vous fait part que ce Matin je me suis rendu dans une Des Enseigne de LIDL ( ULIS 91 ESSONNE ) et vous informe d'un Prix affiché illégal Ce 17 02 2022 l'affichage du prix des 3 lots Nettoyant Lave-Vaiselle SUN CLASSIC soit disant en Promo et Offre Spécial ne Corresponder pas du tout au PRIX  INDIQUER SUR L'étiquette : Lot De 3 / 3 Pièces : 3.15 Euros / 1 Pièce : 1.15 Euro !!!

Hors Arriver en Caisse on me Compte 3 x 3.15 Euros  ??

De Plus en Demandant Réclamation Auprès de la Responsable du Magasin et qui n'a vraiment pas été du tout Aimable et Très Agressif M'a Répondu que cela été comme cela !!!

Je Précise que la Veille je me suis rendu sur une autrte enseigne "" Intermarché "" Et que le mème Produit été de 3.09 Euros pour 3 Articles et d'une Remise Immédiat à - 2.48 Euros !!! ( Vous Pouvez Vérifier dans cette Enseigne Sans Problème ).

Je constate que quand il faut faire une réclamation ou d'un remboursement sur un produit les Responsables sont pas du tout Courtois avec la Clientèle !!",1,0,0,0,0
622,Service après vente nul,1,"Service après vente nul, incapable de me prendre en SAV un aspirateur à main à 20€ encore sous garantie qui ne se recharge plus.... Réponse du SAV cela viens du filtre qui n'aurai jamais été changé... Donc on me propose l'envoi d'un filtre évidemment à ma charge  au tarif de 10€...N'importe quel baudet sait que cela ne résoudra pas le problème. Je ne sais pas si je dois en rire ou en pleurer...",2022-02-16T16:54:44.000Z,,,"Service après vente nul Service après vente nul, incapable de me prendre en SAV un aspirateur à main à 20€ encore sous garantie qui ne se recharge plus.... Réponse du SAV cela viens du filtre qui n'aurai jamais été changé... Donc on me propose l'envoi d'un filtre évidemment à ma charge  au tarif de 10€...N'importe quel baudet sait que cela ne résoudra pas le problème. Je ne sais pas si je dois en rire ou en pleurer...",0,0,0,1,0
623,SAV Lidl déplorable,1,"SAV Lidl déplorable 
Plusieurs mois de bataille suite à un perforateur sous garantie qui ne fonctionne plus 
J’ai pour décision de ne plus acheter de matériel dans ces enseignes mais j’y fait les courses et prend un grand plaisir à raconter mon expérience aux personnes qui achète du matériel ou lorsque la caissière dit au client devant moi de garder le ticket pour la garantie.
À chaque appel au SAV on me dit que mon dossier est en cours ça fait 4 mois, j’imagine que si je reçois un jour le bon de retour pour renvoyer mon perfo HS, j’attendrais encore bien longtemps pour la suite.
VRAIMENT DÉPLORABLE je déconseille fortement",2022-02-16T08:48:22.000Z,,,"SAV Lidl déplorable SAV Lidl déplorable 
Plusieurs mois de bataille suite à un perforateur sous garantie qui ne fonctionne plus 
J’ai pour décision de ne plus acheter de matériel dans ces enseignes mais j’y fait les courses et prend un grand plaisir à raconter mon expérience aux personnes qui achète du matériel ou lorsque la caissière dit au client devant moi de garder le ticket pour la garantie.
À chaque appel au SAV on me dit que mon dossier est en cours ça fait 4 mois, j’imagine que si je reçois un jour le bon de retour pour renvoyer mon perfo HS, j’attendrais encore bien longtemps pour la suite.
VRAIMENT DÉPLORABLE je déconseille fortement",0,1,0,1,0
624,"Comment se faire souhaiter ""mauvaise …",1,"Comment se faire souhaiter ""mauvaise  journée "" par Amélie, responsable du magasin de Manosque ?

Simplement en faisant remarquer une erreur sur mon ticket de caisse. J'ai fait constater à cette jeune femme que le prix affiché n'était pas celui payé !
Après m'avoir fait attendre un bon moment, elle m'a remboursé la différence de prix et m'a dit textuellement
""Bonne journée ou mauvaise d'ailleurs..c'est pareil ""
Très sympathique comme réflexion !
J'espère que le nouveau magasin qui ouvre le 22 février saura s'entourer de personnel plus agréable et que les prix seront correctement affichés, ce qui n'est pas toujours le cas à Manosque !",2022-02-15T18:05:44.000Z,,,"Comment se faire souhaiter ""mauvaise … Comment se faire souhaiter ""mauvaise  journée "" par Amélie, responsable du magasin de Manosque ?

Simplement en faisant remarquer une erreur sur mon ticket de caisse. J'ai fait constater à cette jeune femme que le prix affiché n'était pas celui payé !
Après m'avoir fait attendre un bon moment, elle m'a remboursé la différence de prix et m'a dit textuellement
""Bonne journée ou mauvaise d'ailleurs..c'est pareil ""
Très sympathique comme réflexion !
J'espère que le nouveau magasin qui ouvre le 22 février saura s'entourer de personnel plus agréable et que les prix seront correctement affichés, ce qui n'est pas toujours le cas à Manosque !",1,0,0,0,0
625,Très mauvaise expérience j´ai fait mes…,1,Très mauvaise expérience j´ai fait mes déclarations pour deux machines achetées un rabot et une perceuse de précision Lidl mna répondu mais n´à jamais donné suite pourtant je l'ai fait trois fois dans les temps de la garantie à chaque fois ils devaient donner suite et jamais rien qu'elle arnaque cette garantie je n´achèterais plus à Lidl,2022-02-15T17:21:07.000Z,,,Très mauvaise expérience j´ai fait mes… Très mauvaise expérience j´ai fait mes déclarations pour deux machines achetées un rabot et une perceuse de précision Lidl mna répondu mais n´à jamais donné suite pourtant je l'ai fait trois fois dans les temps de la garantie à chaque fois ils devaient donner suite et jamais rien qu'elle arnaque cette garantie je n´achèterais plus à Lidl,0,0,0,1,0
626,Lidl Bidart,2,Lidl Bidart une partie du personnel est désagréable fouille de votre cabas ce qui est illégal et toujours pas de balance de courtoisie pour savoir ce que vous prenez en fruits et légumes Ce qui est obligatoire quand la pesée se fait en caisse . Pour l'échange d'un produit pas de problème mais pour entré dans le magasin par d'accès direct aux caisses ce qui est désagréable et aussi si il y a un problème de secours.,2022-02-14T10:41:34.000Z,,,Lidl Bidart Lidl Bidart une partie du personnel est désagréable fouille de votre cabas ce qui est illégal et toujours pas de balance de courtoisie pour savoir ce que vous prenez en fruits et légumes Ce qui est obligatoire quand la pesée se fait en caisse . Pour l'échange d'un produit pas de problème mais pour entré dans le magasin par d'accès direct aux caisses ce qui est désagréable et aussi si il y a un problème de secours.,1,0,0,0,0
627,Arnaque carte grattage,1,Les cartes de grattage ne sont qu'une vaste escroquerie.Cela fait deux fois que les produits offerts ne sont pas déduits.Aucun intérêt pour l'application.,2022-02-12T22:56:54.000Z,,,Arnaque carte grattage Les cartes de grattage ne sont qu'une vaste escroquerie.Cela fait deux fois que les produits offerts ne sont pas déduits.Aucun intérêt pour l'application.,0,0,0,0,0
628,À fuir ! SAV non réactif  voir indifférent !,1,"Voilà plus de 2 mois que je demande au Sav de Lidl le retour d'un Monsieur Cuisine Edition Plus, qui, dès la première utilisation fait un fort gresillement et des arc électriques au dos de l'appareil. Le magasin dit de passer par le SAV. Silence radio ! Les appels au service clients ne servent à rien, le courrier recommandé au directeur exécutif, non plus ! Pas un courrier, ni un appel, encore moins un geste commercial. Quelle tristesse de prendre les consommateurs pour des pigeons.  Passé la porte du magasin, demerdez vous. Honteux ! 
Vraiment, SAV à fuir !",2022-02-10T14:36:54.000Z,,,"À fuir ! SAV non réactif  voir indifférent ! Voilà plus de 2 mois que je demande au Sav de Lidl le retour d'un Monsieur Cuisine Edition Plus, qui, dès la première utilisation fait un fort gresillement et des arc électriques au dos de l'appareil. Le magasin dit de passer par le SAV. Silence radio ! Les appels au service clients ne servent à rien, le courrier recommandé au directeur exécutif, non plus ! Pas un courrier, ni un appel, encore moins un geste commercial. Quelle tristesse de prendre les consommateurs pour des pigeons.  Passé la porte du magasin, demerdez vous. Honteux ! 
Vraiment, SAV à fuir !",0,0,0,1,0
629,LIDL C'est que l'arnaque,1,LIDL C'est que l'arnaque. Deux poeles acheté chez lidl. meme pas deux semaines d'utilisation la peinture s'epluche. on dirait pas de ferraille c'est rien C'est de poison de galvanise. j'ai contacter le service client il réponds pas. en plus aucun respect pour les clients. Donc les deux poeles à la poubelle. BIEN SUR LIDL NE PERDS RIEN C'EST LES CLIENTS QUI PERDENT. JE TROUVE PAS INSUPORTABLE PAS SERIEUX ET PAS DE TOUT PROFESSIONEL.,2022-02-10T14:05:27.000Z,,,LIDL C'est que l'arnaque LIDL C'est que l'arnaque. Deux poeles acheté chez lidl. meme pas deux semaines d'utilisation la peinture s'epluche. on dirait pas de ferraille c'est rien C'est de poison de galvanise. j'ai contacter le service client il réponds pas. en plus aucun respect pour les clients. Donc les deux poeles à la poubelle. BIEN SUR LIDL NE PERDS RIEN C'EST LES CLIENTS QUI PERDENT. JE TROUVE PAS INSUPORTABLE PAS SERIEUX ET PAS DE TOUT PROFESSIONEL.,0,0,0,0,0
630,SAV à proscrire,1,"J'ai acheté le 15/04/2021 un mitigeur de baignoire garantit 3 ans, en février 2022 soit moins d'un an après il est HS, l'eau sort par le pommeau de douche et par le robinet de la baignoire.
Le téléphone pour joindre le SAV est payant ! leur formulaire de contact est indisponible, il faut passer par messenger, et donner toute son identité, téléphone, adresse postale.... bientôt ils vont me demander mon numéro de CB :-(((
J'appelle ça du F------ d- G-----, désolée obligation de corriger.
Pour moi lidl c'est bien quand ça marche sinon c'est direct poubelle
Par contre, il est dommage qu'on ne puisse pas ajouter de photos pour prouver nos affirmations.",2022-02-09T17:10:17.000Z,,,"SAV à proscrire J'ai acheté le 15/04/2021 un mitigeur de baignoire garantit 3 ans, en février 2022 soit moins d'un an après il est HS, l'eau sort par le pommeau de douche et par le robinet de la baignoire.
Le téléphone pour joindre le SAV est payant ! leur formulaire de contact est indisponible, il faut passer par messenger, et donner toute son identité, téléphone, adresse postale.... bientôt ils vont me demander mon numéro de CB :-(((
J'appelle ça du F------ d- G-----, désolée obligation de corriger.
Pour moi lidl c'est bien quand ça marche sinon c'est direct poubelle
Par contre, il est dommage qu'on ne puisse pas ajouter de photos pour prouver nos affirmations.",1,0,0,1,0
631,GARANTIE UN MOIS SEULEMENT CHEZ LIDL,1,"j'ai acheté fin novembre un cook n mix (mixer chauffant) pour faire des soupes. Un mois et demi après une utilisation fréquente il fait disjoncter l'installation. 
Au delà d'un mois Lidl ne rembourse pas c'est Kompernass en Allemagne qui me propose de m'en renvoyer un autre auquel il faudra très soigneusement le sécher après chaque utilisation (ce que je faisais avant) mais pas question de remboursement sur cet appreil qui n'est pas variment fait pour faire des soupes forcément humides ...",2022-02-09T14:21:46.000Z,,,"GARANTIE UN MOIS SEULEMENT CHEZ LIDL j'ai acheté fin novembre un cook n mix (mixer chauffant) pour faire des soupes. Un mois et demi après une utilisation fréquente il fait disjoncter l'installation. 
Au delà d'un mois Lidl ne rembourse pas c'est Kompernass en Allemagne qui me propose de m'en renvoyer un autre auquel il faudra très soigneusement le sécher après chaque utilisation (ce que je faisais avant) mais pas question de remboursement sur cet appreil qui n'est pas variment fait pour faire des soupes forcément humides ...",1,1,0,1,0
632,très décu par le Jambon SERRANO …,1,"Bonjour , je suis très déçu par un article Jambon serrano, vendu à 25 Euros ( produit sous vide ) Je connais ce genre de produits  ( venant dechez Lidl autre marque ou d'ailleurs )  qui sont en général acceptables. C'est évidemment un produit sous vide, dont on ne peut pas attendre une qualité supérieure,  mais là , c'est juste immangeable... goût de ""moisissure rance "" ... ""Jamon Serrano Reserva"" - Lot 304821 qui a pourtant un label qualité CALICER  - 2,2 Kgs ..",2022-02-09T13:00:05.000Z,,,"très décu par le Jambon SERRANO … Bonjour , je suis très déçu par un article Jambon serrano, vendu à 25 Euros ( produit sous vide ) Je connais ce genre de produits  ( venant dechez Lidl autre marque ou d'ailleurs )  qui sont en général acceptables. C'est évidemment un produit sous vide, dont on ne peut pas attendre une qualité supérieure,  mais là , c'est juste immangeable... goût de ""moisissure rance "" ... ""Jamon Serrano Reserva"" - Lot 304821 qui a pourtant un label qualité CALICER  - 2,2 Kgs ..",1,1,0,0,0
633,Voila 4 ans que je fais mes courses à…,2,"Voila 4 ans que je fais mes courses à lidl. J'ai toujours acheter du bicarbonate de soude alimentaire (marque baleine) chez eux jusqu'à ce que je n'en trouve plus. Je suis allée ds les 3 lidl de mon département et rien. J'achète donc a carrefour depuis 6 mois. Rajoute à ça, ma déception de trouver des articles alimentaires plaisants comme l'huile de chanvre que je n'ai pas retrouvé ds mon lidl de Riom. Un dernier point, a quoi ça sert de mettre les produits anti-gaspi à la sortie des caisses ? À nous retrouver avec les memes articles ? C du gâchis.",2022-02-08T22:35:28.000Z,,,"Voila 4 ans que je fais mes courses à… Voila 4 ans que je fais mes courses à lidl. J'ai toujours acheter du bicarbonate de soude alimentaire (marque baleine) chez eux jusqu'à ce que je n'en trouve plus. Je suis allée ds les 3 lidl de mon département et rien. J'achète donc a carrefour depuis 6 mois. Rajoute à ça, ma déception de trouver des articles alimentaires plaisants comme l'huile de chanvre que je n'ai pas retrouvé ds mon lidl de Riom. Un dernier point, a quoi ça sert de mettre les produits anti-gaspi à la sortie des caisses ? À nous retrouver avec les memes articles ? C du gâchis.",0,1,0,0,0
634,Manque beaucoup d article en promotions…,1,Manque beaucoup d article en promotions les prix ne sont pas à jour,2022-02-07T14:11:27.000Z,,,Manque beaucoup d article en promotions… Manque beaucoup d article en promotions les prix ne sont pas à jour,1,1,0,0,0
635,J ai acheté le.monsieur cuisine smart…,5,"J ai acheté le.monsieur cuisine smart en décembre. J'ai eu un petit souci avec la poignée du bol.
Le sav a été très réactif , c'est rare donc je souhaite vraiment faire part de mon expérience",2022-02-07T10:13:45.000Z,,,"J ai acheté le.monsieur cuisine smart… J ai acheté le.monsieur cuisine smart en décembre. J'ai eu un petit souci avec la poignée du bol.
Le sav a été très réactif , c'est rare donc je souhaite vraiment faire part de mon expérience",0,1,0,1,0
636,Set tapis de voiture parfum rafinerie,2,"Acheté un set de tapis de voiture inutilisable car il y a une odeur de pétrole nauséabonde dans la voiture qui déclenche des quintes de toux et gratte la gorge, et c'est garanti sans matières toxiques... ben si ça c'est pas toxique...
Du coup j'ai voulu les ramener pour me faire rembourser mais pas possibles car ils étaient coupés pour les adapter à ma voiture...génial  et bravo à Lidl de nous vendre des mer... pareilles !!!!",2022-02-06T18:40:08.000Z,,,"Set tapis de voiture parfum rafinerie Acheté un set de tapis de voiture inutilisable car il y a une odeur de pétrole nauséabonde dans la voiture qui déclenche des quintes de toux et gratte la gorge, et c'est garanti sans matières toxiques... ben si ça c'est pas toxique...
Du coup j'ai voulu les ramener pour me faire rembourser mais pas possibles car ils étaient coupés pour les adapter à ma voiture...génial  et bravo à Lidl de nous vendre des mer... pareilles !!!!",0,1,0,0,0
637,Le 5/2/2022,1,"Le 5/2/2022
Je passe en caisse à Ahuy,achat 36€
le caissier m’annonce 135€,erreur de 100€,pagaille en caisse ,j’aime ce magasin pour ses produits mais le personnel de caisse est à revoir.
Ils ne sont pas attentifs.
Discussion avec leur collègue.😡😡😡",2022-02-05T13:36:04.000Z,,,"Le 5/2/2022 Le 5/2/2022
Je passe en caisse à Ahuy,achat 36€
le caissier m’annonce 135€,erreur de 100€,pagaille en caisse ,j’aime ce magasin pour ses produits mais le personnel de caisse est à revoir.
Ils ne sont pas attentifs.
Discussion avec leur collègue.😡😡😡",1,0,0,0,0
638,Service client et application top,5,"Suite à un soucis sur l'appli qui n'avait pas pris en compte les réductions lors de mon passage en caisse sur plusieurs articles + produits alimentaires passés de date et gonflés (évidemment pas vu en magasin), j'ai envoyé un message au service client. 
Je n'ai pas eu de retour tout de suite et ai donc relancé. 
Ils m'ont répondu qu'ils m'avaient envoyé un dédommagement par voie postale, courrier que j'ai reçu quelques jours plus tard avec un carte cadeau couvrant l'argent ""perdu"" lors de mon passage en caisse. 
Merci au service client 🌷
Pour ma demande, ils ont été très réactifs via l'application Lidl Plus
Leur appli est pas mal aussi avec des offres spéciales et des coupons à activer, il y a un jeu à gratter en ce moment pour chaque passage en caisse, je viens de gagner des crèmes au chocolat et j'ai gagné des compotes il y a quelques jours (valable seulement 7 jours par contre, je n'ai pas pu en profiter, dommage 😅). On peut donc gagner régulièrement 😊",2022-02-05T00:57:12.000Z,,,"Service client et application top Suite à un soucis sur l'appli qui n'avait pas pris en compte les réductions lors de mon passage en caisse sur plusieurs articles + produits alimentaires passés de date et gonflés (évidemment pas vu en magasin), j'ai envoyé un message au service client. 
Je n'ai pas eu de retour tout de suite et ai donc relancé. 
Ils m'ont répondu qu'ils m'avaient envoyé un dédommagement par voie postale, courrier que j'ai reçu quelques jours plus tard avec un carte cadeau couvrant l'argent ""perdu"" lors de mon passage en caisse. 
Merci au service client 🌷
Pour ma demande, ils ont été très réactifs via l'application Lidl Plus
Leur appli est pas mal aussi avec des offres spéciales et des coupons à activer, il y a un jeu à gratter en ce moment pour chaque passage en caisse, je viens de gagner des crèmes au chocolat et j'ai gagné des compotes il y a quelques jours (valable seulement 7 jours par contre, je n'ai pas pu en profiter, dommage 😅). On peut donc gagner régulièrement 😊",1,0,0,1,0
639,je viens de passer exactement 10mns 23…,1,"je viens de passer exactement 10mns 23 a 0.80cts la minutes soit 8 euros 84, a attendre au service sav qui m informe que je suis la 1ere en liste d attente... et m informe apres 10mns que les lignes sont occupées. vous avez probablement des accords avec les services téléphoniques mais ce n est pas a nous de payer.. t c est la dernière fois que j acheté un outil chez vous!!!!bravo le SAV ET L ACCEUIL",2022-02-04T09:47:21.000Z,,,"je viens de passer exactement 10mns 23… je viens de passer exactement 10mns 23 a 0.80cts la minutes soit 8 euros 84, a attendre au service sav qui m informe que je suis la 1ere en liste d attente... et m informe apres 10mns que les lignes sont occupées. vous avez probablement des accords avec les services téléphoniques mais ce n est pas a nous de payer.. t c est la dernière fois que j acheté un outil chez vous!!!!bravo le SAV ET L ACCEUIL",1,0,0,1,0
640,Produit d appel La technique commercial de Lidl…,1,"La technique commercial de Lidl consiste a proposer un article non alimentaire intéressant a un prix attractif qui vous incite a vous rendre dans leurs magasin, mais une fois sur place il a été très souvent constaté que le produit est absent  faute d'approvisionnement . Biens sur le personnel est dans l'incapacité de vous donner la moindre information á  part de vous dire de revenir dans la semaine ... le but de vous faire revenir et de refaire des courses par la même occasion.....!!!",2022-02-02T18:44:18.000Z,,,"Produit d appel La technique commercial de Lidl… La technique commercial de Lidl consiste a proposer un article non alimentaire intéressant a un prix attractif qui vous incite a vous rendre dans leurs magasin, mais une fois sur place il a été très souvent constaté que le produit est absent  faute d'approvisionnement . Biens sur le personnel est dans l'incapacité de vous donner la moindre information á  part de vous dire de revenir dans la semaine ... le but de vous faire revenir et de refaire des courses par la même occasion.....!!!",1,0,0,0,0
641,Bien,3,"Question prix et qualité 
 impecable quand la marchandise est dans les rayons ce qui n'est pas le cas dans plusieurs magasins en + le mardi c'est catastrophique rayon plus que vide manque de tout",2022-02-02T10:08:00.000Z,,,"Bien Question prix et qualité 
 impecable quand la marchandise est dans les rayons ce qui n'est pas le cas dans plusieurs magasins en + le mardi c'est catastrophique rayon plus que vide manque de tout",1,0,0,0,0
642,Je ne trouve plus de la mousse…,5,Je ne trouve plus de la mousse coiffante cien sur Arras dans le pas de Calais et du spray cien que de la laque pourquoi ?,2022-01-31T10:27:41.000Z,,,Je ne trouve plus de la mousse… Je ne trouve plus de la mousse coiffante cien sur Arras dans le pas de Calais et du spray cien que de la laque pourquoi ?,1,0,0,0,0
